gamma,replicate,individual,type,theshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.4,60.0,99.0,1.0,0.2401566813719498,3.0,13.0,0.14680002035644954,0.5680202727376643,1.0,3.0,0.0,8.0
-0.4,60.0,100.0,1.0,0.9165932278664205,17.0,11.0,0.7802940899996917,0.5068667245354991,6.0,0.0,2.0,2.0
-0.4,60.0,101.0,1.0,0.8490126794955072,14.0,8.0,0.7223826299753574,0.40228072479036014,3.0,0.0,4.0,1.0
-0.4,60.0,102.0,1.0,0.5910259553693937,14.0,9.0,0.755730102467049,0.5277781533242586,5.0,0.0,1.0,1.0
-0.4,60.0,103.0,0.0,0.4517975588601315,15.0,13.0,0.5996710410696613,0.6057153390328704,2.0,0.0,1.0,1.0
-0.4,60.0,104.0,1.0,0.547560807013316,14.0,8.0,0.6937469197636504,0.4230861164481473,6.0,0.0,3.0,3.0
-0.4,60.0,105.0,0.0,0.9911080736755649,13.0,9.0,0.41228244693305194,0.3024535089987452,2.0,0.0,3.0,1.0
-0.4,60.0,106.0,0.0,0.9280509437523217,8.0,4.0,0.20885213273862152,0.15405535077374957,3.0,0.0,2.0,1.0
-0.4,60.0,107.0,0.0,0.9733674383408405,8.0,7.0,0.36660461048299503,0.2860467851188346,3.0,0.0,1.0,3.0
-0.4,60.0,108.0,0.0,0.5659162728118228,3.0,4.0,0.06901217408897334,0.14969176097735554,2.0,1.0,0.0,2.0
-0.4,60.0,109.0,0.0,0.9947804577637693,6.0,4.0,0.17090720204818327,0.19786300140719595,4.0,0.0,0.0,2.0
-0.4,60.0,110.0,0.0,0.39786493420740265,4.0,5.0,0.19116865262507973,0.23883062345589973,2.0,0.0,1.0,4.0
-0.4,60.0,111.0,1.0,0.7672839046563725,20.0,17.0,1.0,1.0,5.0,0.0,1.0,3.0
-0.4,60.0,112.0,1.0,0.13438481285115633,4.0,2.0,0.20689505141292083,0.10250093737957611,4.0,0.0,0.0,2.0
-0.4,60.0,113.0,1.0,0.4914591162915367,1.0,7.0,0.09269694985837737,0.33957739691174205,0.0,1.0,0.0,5.0
-0.4,60.0,114.0,0.0,0.4399039739967361,16.0,11.0,0.6249313544429606,0.6210366129229117,5.0,0.0,3.0,3.0
-0.4,60.0,115.0,1.0,0.7471850814613374,9.0,7.0,0.5035258681557445,0.3219260453379643,3.0,0.0,2.0,3.0
-0.4,60.0,116.0,1.0,0.6214513212803207,10.0,13.0,0.4043817826146267,0.6739890029213005,0.0,0.0,2.0,5.0
-0.4,60.0,117.0,1.0,0.9646069375990594,13.0,11.0,0.5136845798145945,0.6956234585891308,4.0,0.0,1.0,3.0
