gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.8,3,184,1,1,1,0
-0.8,3,185,0,0,0,3
-0.8,3,186,1,2,1,0
-0.8,3,187,0,0,4,0
-0.8,3,188,0,2,0,2
-0.8,3,189,0,2,1,0
-0.8,3,190,0,0,0,1
-0.8,3,191,0,4,1,1
-0.8,3,192,0,0,1,1
-0.8,3,193,0,1,0,0
-0.8,3,194,1,2,1,0
-0.8,3,195,1,3,0,2
-0.8,3,196,0,1,0,1
-0.8,3,197,0,2,3,2
-0.8,3,198,0,0,0,0
-0.8,3,199,0,2,0,1
-0.8,4,0,0,1,2,0
-0.8,4,1,0,0,0,2
-0.8,4,2,0,2,0,3
-0.8,4,3,0,1,0,0
-0.8,4,4,0,1,0,2
